Column_Name,Variable Type,pre/post,Priority,Adobe Variable Name,Description,example,data type,Use instead,Dynamic Pricing,Transformation,Transformations,Transformation Type,Extended Column Type,New Column 1,New Column 2,New Column 3,New Column 4,New Column 5,New Column 6,New Column 7
post_product_list,standard,post,1,,"The product list as passed in through the s.product tag. It has a format of comma separated list of: category, product, quantity, cost, custEventsDecValues, merchandisingValues. The custom events values need to be looked up",",BA8629,,,,108=ASMC FW16|112=NON-INTERNAL SEARCH|113=NON-INTERNAL SEARCH|114=NON-INTERNAL SEARCH|115=F1-CATEGORY:SHOES^|F2-PRODUCTLINESTYLE:NMD|116=NO FILTERS APPLIED|117=BC1:HOME^|BC2:MEN^|BC3:SHOES^|BC4:NMD_R1 PRIMEKNIT SHOES|118=MEN|119=SHOES|120=~|121=LIFESTYLE|122=ORIGINALS|123=~|132=NON-SITE PROMOTION|133=NON-SITE NAVIGATION|134=::hash::0|135=EXTERNAL CHANNEL|136=::hash::0|137=::hash::0|138=KEJ55|139=BA8629_530|140=OUT OF STOCK|141=NO|142=170.00 USD|143=CORE BLACK  /  BLACK  /  RUNNING WHITE|144=4|145=4.6|146=20|147=::hash::0|148=::hash::0|158=SHOES|161=FULL PRICE|167=::hash::0|168=23|169=::hash::0",String (64k characters),,Y,Y,(1) Extract the product id from post_product_list variable + (2) extract the figure between second and third semicolon + (3) extract the figure between third and fourth semicolon,Parse (partially),Dimension + Metric + Metric,product,units ,revenue,,,,
post_prop1,custom,post,1,Page Name Plus Locale (c1),It is a name of the page where the current user activity was tracked by Adobe Analytics. It is used for analyzing the traffic, engagements and conversions of each page and has values as defined by adidas. This value gets a new value in each user activity and previous value gets expired simultaneously,DE|SHOPPING CART: CART,,,,,,,,,,,,,
post_prop10,custom,post,1,Customer ID [eUCI] (c10),"It is an ID set to a customer based on a login or purchase, but cannot lead back to PII. It helps analyse how ""known customers"" behave on our website cross visit. It changes whenever another customer login on the device. ",ZQJAJ1YPCRMPGB6A,,,,,,,,,,,,,,
post_prop11,custom,post,1,Login Status (c11),"It contains the information that whether is ""Logged in"" to the website of not. If the user is logged in, it has a value ""Logged in"" else it has a value "" Anonymous"". This value is persisted throughout the visit unless and until it is overwritten by a new value. The persisted value can be seen in post_eVar11 column",ANONYMOUS,,,,,,,,,,,,,
post_prop12,custom,post,1,Internal Search Term (c12),"It contains the term which was searched on the website. It has the values formatted in 3 parts "" <actual search query>|<search type>|<matched suggestion>"".  It is used to analyze what all products are being searched for on the website. Also, it is useful in tracking purchase (if any) after the searches . This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar12 column",BOOTS,,,,,,,,,,,,,
post_prop13,custom,post,1,Internal Search Type (c13),It collects the information on category and place of search performed on the website. It has predefined values based on the location and kind of search performed. It has values like  TOP-RIGHT-SEARCH-QUERY, MIDDLE-SEARCH-SUGGESTION etc. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar13 column,TOP RIGHT-SEARCH-QUERY,,,,,,,,,,,,,
post_prop14,custom,post,1,Number of Results (c14),It contains the number of results shown based on a search. It help analyse the behavior of customers based on the results they received based on a search. ,104,,,,,,,,,,,,,,
post_prop15,custom,post,1,Filter List (c15),"It collects the list of filters being used by the user while searching for the product. Each element in the list is separated by a pipe ( ""|"" ). Every element collects the type of filter and the value of filter. Eg. F1-SPORT:FOOTBALL|F2-CATEGORY:SHOES shows that 2 filters were used namely sport and category and values chosen for each filter was Football and Shoes respectively. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar15 column",F1-SPORT:FOOTBALL|F2-CATEGORY:SHOES,,,,,,,,,,,,,,
post_prop16,custom,post,1,Sort Applied (c16),It contains the information on sorting applied by the user while searching for the products on the website. It is used to analyze the user behavior while searching the product. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar16 column,PRICE-LOW-TO-HIGH, TOP-RATED,,,,,,,,,,,,,
post_prop17,custom,post,1,Breadcrumb (c17),It collects the breadcrumb of the page. This help analyse how visitors found the page. In the current configuration is does not represent the sequence, but more the end result. ,BC1:HOME|BC2:MEN,,,,,,,,,,,,,
post_prop18,custom,post,1,Product Gender (c18),It contains the gender of the products listed either on PLP and PDP pages. It used to identify what gender related products are viewed during a visit. It changes based on the type of product(s) shown on the page. ,MEN,,,,,,,,,,,,,,
post_prop19,custom,post,1,Product Category (c19),It collects the category of products listed on either PLP or PDP page. It used to analyse what categories a customer visited. It changes on the moment another category is viewed by the customer. ,"SHOES CLOTHING",,,,,,,,,,,,,,
post_prop2,custom,post,1,Site Type (c2),It is the name of the section a visited page belongs to. It is used to analyse the section visited by our customers. This value gets a new value on the moment a customers visits a new site section,"DESKTOP, MOBILE",,,,,,,,,,,,,,
post_prop20,custom,post,1,Product Type (c20),It contains the type of products displayed on the PLP and PDP page. It used to analyse the type of products a customer visits. It changes when a customer views another product type,SHIRTS,,,,,,,,,,,,,,
post_prop21,custom,post,1,Product Sport (c21),It collects the sport category of a product on PLP and PDP pages. It used to analyse the interest in different sport types. The value changes whenever the customer changes the sport category of products,FOOTBALL,,,,,,,,,,,,,,
post_prop22,custom,post,1,Product Brand (c22),It contains the product brand of products on PLP and PDP a customer is viewing. It used to analyse the brands a customer is interested in. The value changes on the moment a customer visits a product to another brand,NEO,,,,,,,,,,,,,,
post_prop23,custom,post,1,Product Collection (c23),It collects the product collection of products on PLP and PDP a customer is viewing. It used to analyse the collections a customer is interested in. The value changes on the moment a customer visits a product to another collection. ,MESSI,,,,,,,,,,,,,,
post_prop24,custom,post,1,Video Name|Category (c24),It contains the name of the video and the video category the video belongs to. It used to analyse what videos customers viewed and to what category the video belonged. ,ADIDAS ORIGNALS|ORIGINAL IS NEVER FINISHED3|ORIGINALS_CLP,,,,?,,,,,,,,,,
post_prop25,custom,post,1,Element Name (c25),This collects the name of elements tracked on our website. ,PDP|SIZE CHANGE, PLP FILTER|PLP,,,,,,,,,,,,,
post_prop26,custom,post,1,Element Category (c26),This collect the categories of elements tracked,PDP, PLP FILTER,,,,,,,,,,,,,
post_prop27,custom,post,1,Brand Site Element Categories (c27),This collects the name of elements tracked on our website. ,BRAND|MICROSITE,,,,,,,,,,,,,,
post_prop28,custom,post,1,Brand Site Element Names (c28),This collect the categories of elements tracked,KANYE YEEZY|SWIPE LOOK 2,,,,,,,,,,,,,,
post_prop29,custom,post,1,Mi Adidas Configurations (c29),It collects the mi adidas configurations. Used for analysis of mi adidas configurations,SOLE|OUTSOLE,,,,,,,,,,,,,,
post_prop3,custom,post,1,Page Type (c3),It is a category of the page where user activity was tracked by Adobe Analytics. It is used for analyzing the overall performance of each category and has value like PDP, PLP, Home, Search, Help, Configurator etc . This value gets a new value in each user activity and previous value gets expired simultaneously,PDP, PLP,,,,,,,,
post_prop30,custom,post,1,Results Page Number (c30),Collect the page number of the search result page. Analysis is used for search results. ,1,,,,,,,,,,,,,,
post_prop31,custom,post,1,Order of Filters Used (c31),Collects the order of filter used on the PLP page. Used for filter analysis. ,CATEGORY:SHOES,,,,,,,,,,,,,,
post_prop32,custom,post,1,Cart ID (c32),This collects the Cart ID when a product is added to cart. Used for cart analysis,12871228768,,,,,,,,,,,,,,
post_prop33,custom,post,1,Order Timestamp (c33),Collects the order timestamp of when the order is placed. Used for analysis of order time,2014-06-20T18:41:00.236Z,,,,,,,,,,,,,,
post_prop34,custom,post,1,Page URL (c34),Contains the URL of the page that the customer visites. Used for page analysis and error analysis,http://www.adidas.de/,,,,,,,,,,,,,,
post_prop35,custom,post,1,404 URLs (c35),Collects the product finding method used by a customer. used to analyse the PFM used by customers. ,http://www.adidas.nl/watdanook,,,,,,,,,,,,,,
post_prop36,custom,post,1,Promo Code (c36),Collects the promocode entered. This is not nessecary a valid promo code. ,ADI-MEMBER-B9VLX,,,,,,,,,,,,,,
post_prop37,custom,post,1,Shoprunner Token (c37),Contains the shoprunner token ID. Used to identify shoprunner customers. ,ff0b1233a07c9844b373b8a3364282c4,,,,,,,,,,,,,,
post_prop38,custom,post,1,Page Load Time [ms] (c38),Collects the page load time in MS. Inreliable, preferable use SOASTA,1500,,,,,,,,,,,,,
post_prop39,custom,post,1,Report Suite IDs (c39),Collects the report suite ID within the Adobe interface where the data is available.,ag-adi-global-prod,ag-adi-us-prod,,,,,,,,,,,,,
post_prop4,custom,post,1,Previous Page (c4),"It is a final value for name of the page of the website from where user navigated to current page derived after applying {persistence}, {processing} and {vista rules}. If user has just entered the website, then eVar4 will contain ""No Value"" as a value. This is due to the fact that there was no page before the current page. It is used to analyze the user navigation on the website. This is a persisted value of eVar4 which gets a new value in each user activity and previous value gets expired simultaneously. It is the source of Previous Page report (eVar4) in Adobe Analytics","SHOPPING CART: CART PLP:G_MEN|PR_SCHUHE|B_ORIGINALS",,,,,,,,,,,,,,
post_prop40,custom,post,1,iPhone Version (c40),Collects the iphone version derived from OS and screensize,iPhone 6,,,,,,,,,,,,,,
post_prop41,custom,post,1,ReebokONE Member Type (c41),Collects the Reebok One member type. ,0,,,,,,,,,,,,,,
post_prop42,custom,post,1,Filter Names (c42),Collects the filter names used on the PLP page. Used to analys the filter usage on PLP pages,GENDER,SPORT,CATEGORY,,,,,,,,,,,,
post_prop43,custom,post,1,Filter Values (c43),Collects the filter names and values used on the PLP page. Used to analys the filter usage on PLP pages,GENDER:MEN,SPORT:RUNNING|GOLF|TRAINING,CATEGORY:SHOES,,,,,,,,,,,,
post_prop44,custom,post,1,Local User Time (c44),Contains the time of the visitor. Used for time analysis,Wednesday 13:22,,,,?,,,,,,,,,,
post_prop45,custom,post,1,IT Profile  (App Version in App),Contains the Tealium version on the page. Used for IT platform analysis,tp.adidasglobal|tenv.prod|ut4.39.201708220939|52_1_1,,,,,,,,,,,,,,
post_prop46,custom,post,1,Navigation Element,It collects the navigation elements used on the pages. Used for navigation analysis,header-_-adidas,,,,,,,,,,,,,,
post_prop47,custom,post,1,Hype - Release Status | Visitor Status,Collects the hype visitor status. This is used to collect the status of the customer. ,SIGNUP OPEN:NOT SIGNED UP,,,,,,,,,,,,,,
post_prop48,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop49,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop5,custom,post,1,Country:Language (c5),It is an indicator of the country name and the language of the website on which user has visited, derived after applying {persistence}, {processing} and {vista rules}. It has two letter code each for country and language separated by colon (:) and is used for knowing which languages are preferred by users for navigating the website of different countries. This value is persisted via eVar5 throughout the visit unless and until it is overwritten by a new value. It is the source of Country:Language report (eVar5) in Adobe Analytics,DE:DE,,,,?,,,,,,,,
post_prop50,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop51,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop52,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop53,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop54,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop55,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop56,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop57,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop58,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop59,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop6,custom,post,1,Date/time converted to report suite time (c6),It contains the time (24hour format) and day of the timezone of a customer. It used to analyse what timezone a customer was on the moment they visited the website. It changes per page based on the time. ,23:30|Monday,,,,?,,,,,,,,,,
post_prop60,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop61,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop62,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop63,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop64,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop65,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop66,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop67,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop68,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop69,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop7,custom,post,1,Page Owner (c7),It is the final value for the name of the owner category of the page on which current user activity was tracked by Adobe Analytics, derived after applying {persistence}, {processing} and {vista rules}. It can have any value among ECOM, CATALOG, BRAND and HYPE depending on owner to which page belongs to. It is useful in analyzing the overall performance of each owner category. This value gets persisted via eVar7, throughout the visit unless overwritten by a new value. . It is the source of Page Owner report (eVar7) in Adobe Analytics,"ECOM BRAND",,,,,,,,,
post_prop70,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop71,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop72,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop73,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop74,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop75,custom,post,1,,0,0,,,,,,,,,,,,,,
post_prop8,custom,post,1,Brand Campaign (c8),It is the final value for the name of various campaigns categorized by brand names for which they are running, derived after applying {persistence}, {processing} and {vista rules}. It is used to analyze the effectiveness of the brand campaign efforts. This value gets persisted through eVar8 unless and until it is overwritten by a new value or user makes a purchase. It is the source of Brand Campaign report (eVar8) in Adobe Analytics,MIADIDAS, ORIGINALS,,,,,,,,,,,
post_prop9,custom,post,1,Stack List (c9),0,,,,,,,,,,,,,,,
post_purchaseid,standard,post,1,,Unique identifer for a purchase.,AUK05935169,String (100 characters),,,,,,,,,,,,,
post_referrer,standard,post,1,,Page prior to the current page.,https://m.adidas.co.uk/on/demandware.store/Sites-adidas-GB-Site/en_GB/COSummary-Start?isExpressCheck,String (244 characters),,,,,,,,,,,,,
post_search_engine,standard,post,1,,The numeric ID of the search engine that was actually used and stored.,0,32-bit unsigned integer,,,,,,,,,,,,,
post_socialassettrackingcode,standard,post,,,,,,,,,,,,,,,,,,
post_socialauthor,standard,post,,,,,,,,,,,,,,,,,,
post_socialaveragesentiment,standard,post,,,,,,,,,,,,,,,,,,
post_socialcontentprovider,standard,post,,,,,,,,,,,,,,,,,,
post_sociallanguage,standard,post,,,,,,,,,,,,,,,,,,
post_sociallatlong,standard,post,,,,,,,,,,,,,,,,,,
post_sociallink,standard,post,,,,,,,,,,,,,,,,,,
post_socialproperty,standard,post,,,,,,,,,,,,,,,,,,
post_socialterm,standard,post,,,,,,,,,,,,,,,,,,
post_socialtermslist,standard,post,,,,,,,,,,,,,,,,,,
post_state,standard,post,,,Geographical region (i.e. Arizona, Utah, Saxony [German Region]) passed in on JavaScrip. Normally only set on a purchase page.,,String (100 characters),,,,,,,,,,,
post_survey,standard,post,,,Post column for the marketing reports and Survey integration. Processed based on page_event_var3.,,String (64k characters),,,,,,,,,,,,,
post_t_time_info,standard,post,,,Raw time info from JavaScript. Used to determine the visitor's timezone.,19/10/2016 14:26:1 6 0,String (100 characters),,,,,,,,,,,,,
post_tnt,standard,post,,,Post column for Analytics and Target integration.,,String (64k characters),,,,,,,,,,,,,
post_tnt_action,standard,post,,,Post column for Analytics and Target integration.,,String (64k characters),,,,,,,,,,,,,
post_transactionid,standard,post,1,,A unique identifier where various data points can be uploaded later via Data Sources.,,String (100 characters),,,,,,,,,,,,,
post_video,standard,post,,,,,,,,,,,,,,,,,,
post_videoad,standard,post,,,,,,,,,,,,,,,,,,
post_videoadinpod,standard,post,,,,,,,,,,,,,,,,,,
post_videoadplayername,standard,post,,,,,,,,,,,,,,,,,,
post_videoadpod,standard,post,,,,,,,,,,,,,,,,,,
post_videochannel,standard,post,,,,,,,,,,,,,,,,,,
post_videocontenttype,standard,post,,,,,,,,,,,,,,,,,,
post_videopath,standard,post,,,,,,,,,,,,,,,,,,
post_videoplayername,standard,post,,,,,,,,,,,,,,,,,,
post_videosegment,standard,post,,,,,,,,,,,,,,,,,,
post_visid_high,standard,post,1,,It is a first part of {visitor ID} which is a key to identify unduplicated count of visitors to the site. It has a numerical value of usually 17 - 19 digit and is used for generating the visitor ID (in combination with post_visid_low),4,11E+18,64-bit unsigned integer,,Y,,count(distinct post_visid_high, post_visid_low, visit_num, visit_start_time_gmt) to calculate visits,,Metric,visits,,,,,,
post_visid_low,standard,post,1,,It is the second part of {visitor ID} which is a key to identify unduplicated count of visitors to the site. It has a numerical value of usually 17 - 19 digit and is used for generating the visitor ID (in combination with post_visid_high),1,25E+18,64-bit unsigned integer,,Y,,count(distinct post_visid_high, post_visid_low, visit_num, visit_start_time_gmt) to calculate visits,,,,,,,,,
post_visid_type,standard,post,1,,Post version of the visid_type column. What we ended up using for the hit.,5,8-bit unsigned integer,,,,,,,,,,,,,
post_zip,standard,post,,,Post version of the zip field. What we use for the hit.,::hash::0,String (100 characters),,,,,,,,,,,,,
prev_page,standard,,,,The page id of the previous page. This is an internal identifier and not useful to the customer.,0,32-bit unsigned integer,,,,,,,,,,,,,
product_list,standard,pre,,,"It is a list of products viewed/searched/ added to cart/ purchased by user. It has a format of comma separated list of: category, product, quantity, cost, custEventsDecValues, merchandisingValues. This column is used for Product Report in Adobe Analytics. The post_event_list value will tell the exact action which were taken on the products. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_product_list column. The post_event_list value will tell the exact action which were taken on the products. The product list as passed in through the JavaScript.,",String (64k characters),post_product_list,,,,,,,,,,,,
product_merchandising,standard,,,,Replaced by post_product_list as of April 2011. Contains data for Merchandising evars as they relate to products.,,0,,,,,,,,,,,,,
prop1,custom,pre,,Page Name Plus Locale (c1),The name of the page where the current user activity was tracked by Adobe Analytics. It is used for analyzing the traffic, engagements and conversions of each page and has values as defined by adidas. This value gets a new value in each user activity and previous value gets expired simultaneously,DE|SHOPPING CART: CART,,,,,,,,,,,,,
prop10,custom,pre,,Customer ID [eUCI] (c10),"It is an ID set to a customer on login. It helps analyse how ""known customers"" behave on our website cross visit. It changes whenever another customer login on the device. ",ZQJAJ1YPCRMPGB6A,,,,,,,,,,,,,,
prop11,custom,pre,,Login Status (c11),"Captures whether a user is logged in to the website or not. If the user is logged in, it has a value ""Logged in"" else it has a value "" Anonymous"". This value is persisted throughout the visit unless and until it is overwritten by a new value.",ANONYMOUS,,,,,,,,,,,,,,
prop12,custom,pre,,Internal Search Term (c12),"It contains the term which was searched for on the website. It has the values formatted in 3 parts "" <actual search query>|<search type>|<matched suggestion>"".  It is used to analyze what all products are being searched for on the website. Also, it is useful in tracking purchase (if any) after the searches . This value gets persisted unless and until it is overwritten by a new value or user makes a purchase.",BOOTS,,,,,,,,,,,,,
prop13,custom,pre,,Internal Search Type (c13),It collects the information on category and place of search performed on the website. It has predefined values based on the location and kind of search performed. It has values like  TOP-RIGHT-SEARCH-QUERY, MIDDLE-SEARCH-SUGGESTION etc. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar13 column,"SEARCH-QUERY SEARCH-SUGGESTION",,,,,,,,,,,,,
prop14,custom,pre,,Number of Results (c14),It contains the number of results shown based on a search. It helps analyse search relevance and the behavior of customers based on the number of results received . ,104,,,,,,,,,,,,,,
prop15,custom,pre,,Filter List (c15),"It collects the list of filters used on the page. Each element in the list is separated by a ( ""|"" ). Every element collects the type of filter and the value of filter. Eg. F1-SPORT:FOOTBALL|F2-CATEGORY:SHOES shows that 2 filters were used namely sport and category and values chosen for each filter was Football and Shoes respectively. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase.",F1-SPORT:FOOTBALL|F2-CATEGORY:SHOES,,,,,,,,,,,,,,
prop16,custom,pre,,Sort Applied (c16),It contains the information on sorting applied by the user while searching for the products on the website. It is used to analyze the user behavior while searching the product. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar16 column,PRICE-LOW-TO-HIGH, TOP-RATED,,,,,,,,,,,,,
prop17,custom,pre,,Breadcrumb (c17),It collects the ordered representation of the breadcrumb trail of the page. This help analyse how visitors found the page. In the current configuration is does not represent the sequence, but more the end result. ,BC1:HOME|BC2:MEN,,,,,,,,,,,,,
prop18,custom,pre,,Product Gender (c18),It contains the gender of the products listed either on PLP and PDP pages. It used to identify what gender related products are viewed during a visit. It changes based on the type of product(s) shown on the page. Contains one of the three values MEN, WOMEN, or KIDS.,MEN,,,,,,,,,,,,
prop19,custom,pre,,Product Category (c19),It collects the category of products listed on either PLP or PDP page. It used to analyse what categories a customer visited. It changes on the moment another category is viewed by the customer. The top three categories are Clothing, Shoes, Accessories,"SHOES CLOTHING",,,,,,,,,,,,
prop2,custom,pre,,Site Type (c2),The name of the section a visited page belongs to. It is used to analyse the section visited by our customers. This value gets a new value on the moment a customers visits a new site section,"DESKTOP, MOBILE",,,,,,,,,,,,,,
prop20,custom,pre,,Product Type (c20),It contains the type of products displayed on the PLP and PDP page. It used to analyse the type of products a customer visits. It changes when a customer views another product type.,SHIRTS,,,,,,,,,,,,,,
prop21,custom,pre,,Product Sport (c21),It collects the sport category of a product on PLP and PDP pages. It used to analyse the interest in different sport types. The value changes whenever the customer changes the sport category of products,FOOTBALL,,,,,,,,,,,,,,
prop22,custom,pre,,Product Brand (c22),It contains the product brand of products on PLP and PDP a customer is viewing. It used to analyse the brands a customer is interested in. The value changes on the moment a customer visits a product to another brand,NEO,,,,,,,,,,,,,,
prop23,custom,pre,,Product Collection (c23),It collects the product collection of products on PLP and PDP a customer is viewing. It used to analyse the collections a customer is interested in. The value changes on the moment a customer visits a product to another collection. ,MESSI,,,,,,,,,,,,,,
prop24,custom,pre,,Video Name|Category (c24),It contains the name of the video and the video category the video belongs to. It used to analyse what videos customers viewed and to what category the video belonged. ,ADIDAS ORIGNALS|ORIGINAL IS NEVER FINISHED3|ORIGINALS_CLP,,,,,,,,,,,,,,
prop25,custom,pre,,Element Name (c25),This collects the name of links or navigation elements a user interacted with on our website. ,PDP|SIZE CHANGE, PLP FILTER|PLP,,,,,,,,,,,,,
prop26,custom,pre,,Element Category (c26),This collect the categories of links or navigation elements a user interacted with on our site - a higher level grouping of prop25.,PDP, PLP FILTER,,,,,,,,,,,,,
prop27,custom,pre,,Brand Site Element Categories (c27),This collect the categories of links or navigation elements a user interacted with on our brand site - a higher level grouping of prop28.,BRAND|MICROSITE,,,,,,,,,,,,,,
prop28,custom,pre,,Brand Site Element Names (c28),This collects the name of links or navigation elements a user interacted with on our brand website. ,KANYE YEEZY|SWIPE LOOK 2,,,,,,,,,,,,,,
prop29,custom,pre,,Mi Adidas Configurations (c29),It collects the sections and components used on mi adidas configurator. Used for analysis of mi adidas configurations,SOLE|OUTSOLE,,,,,,,,,,,,,,
prop3,custom,pre,,Page Type (c3),The category of the page where user activity was tracked by Adobe Analytics. It is used for analyzing the overall performance of each category and has value like PDP, PLP, Home, Search, Help, Configurator etc . This value gets a new value in each user activity and previous value gets expired simultaneously,PDP, PLP,,,,,,,,
prop30,custom,pre,,Results Page Number (c30),Collect the page number of the search result page. ,1,,,,,,,,,,,,,,
prop31,custom,pre,,Order of Filters Used (c31),Collects the order of filter used on the PLP page. Used for filter analysis. ,CATEGORY:SHOES,,,,,,,,,,,,,,
prop32,custom,pre,,Cart ID (c32),This collects the Cart ID when a product is added to cart. Used for cart analysis.,12871228768,,,,,,,,,,,,,,
prop33,custom,pre,,Order Timestamp (c33),Collects the time when an order is placed. Used for analysis of order time. The format should contain a valid dateTtime stamp.,2014-06-20T18:41:00.236Z,,,,,,,,,,,,,,
prop34,custom,pre,,Page URL (c34),Contains the full URL of the page visited. Used for page analysis and error analysis.,http://www.adidas.de/,,,,,,,,,,,,,,
prop35,custom,pre,,404 URLs (c35),This is used to collect the URL of a 404 page. Used to analyse the location of a 404 page. ,http://www.adidas.nl/watdanook,,,,,,,,,,,,,,
prop36,custom,pre,,Promo Code (c36),Collects the promocode entered. This may not be a valid promo code.,ADI-MEMBER-B9VLX,,,,,,,,,,,,,,
prop37,custom,pre,,Shoprunner Token (c37),Contains the shoprunner token ID. Used to identify shoprunner customers. ,ff0b1233a07c9844b373b8a3364282c4,,,,,,,,,,,,,,
prop38,custom,pre,,Page Load Time [ms] (c38),Collects the page load time in MS. This value is not currenlty used as another tool is providing this ingotmation accuretely. ,1500,,,,,,,,,,,,,,
prop39,custom,pre,,Report Suite IDs (c39),Collects the report suite ID within the Adobe interface where the data is being sent to.,ag-adi-global-prod,ag-adi-us-prod,,,,,,,,,,,,,
prop4,custom,pre,,Previous Page (c4),"The name of the page from where user navigated to current page. If user has just entered the website, then eVar4 will contain ""No Value"" as a value. This is due to the fact that there was no page before the current page. It is used to analyze the user navigation on the website. This is a persisted value of eVar4 which gets a new value in each user activity and previous value gets expired simultaneously.","SHOPPING CART: CART PLP:G_MEN|PR_SCHUHE|B_ORIGINALS",,,,,,,,,,,,,,
prop40,custom,pre,,iPhone Version (c40),Collects the iphone version derived from OS and screensize.,iPhone 6,,,,,,,,,,,,,,
prop41,custom,pre,,ReebokONE Member Type (c41),Collects the Reebok One member type. ,0,,,,,,,,,,,,,,
prop42,custom,pre,,Filter Names (c42),Collects a comma seprated list of filter names used on the PLP page. Used to analys the filter usage on PLP pages,GENDER,SPORT,CATEGORY,,,,,,,,,,,,
prop43,custom,pre,,Filter Values (c43),Collects the filter names and values used on the PLP page. Used to analys the filter usage on PLP pages. This is a more detailed represnetation of data captured in prop43.,GENDER:MEN,SPORT:RUNNING|GOLF|TRAINING,CATEGORY:SHOES,,,,,,,,,,,,
prop44,custom,pre,,Local User Time (c44),Contains the day and time of the visit. Used for time analysis,Wednesday 13:22,,,,,,,,,,,,,,
prop45,custom,pre,,IT Profile  (App Version in App),Contains the Tealium version on the page. Used for IT platform analysis,tp.adidasglobal|tenv.prod|ut4.39.201708220939|52_1_1,,,,,,,,,,,,,,
prop46,custom,pre,,Navigation Element,It collects the navigation elements used on the pages. Used for navigation analysis,header-_-adidas,,,,,,,,,,,,,,
prop47,custom,pre,,Hype - Release Status | Visitor Status,The release state for the customer on the hype pages. Used to analyse what states are applicable for the customers. It changes when a customer signs up for a new hype product,SIGNUP OPEN:NOT SIGNED UP,,,,,,,,,,,,,,
prop48,custom,pre,,Custom Insight 48,0,0,,,,,,,,,,,,,,
prop49,custom,pre,,Custom Insight 49,0,0,,,,,,,,,,,,,,
prop5,custom,pre,,Country:Language (c5),The country name and the language of the website on which user has visited. It has two letter code each for country and language separated by colon (:) and is used for knowing which languages are preferred by users for navigating the website of different countries. This value is persisted via eVar5 throughout the visit unless and until it is overwritten by a new value.,DE:DE,,,,,,,,,,,,,,
prop50,custom,pre,,Custom Insight 50,0,0,,,,,,,,,,,,,,
prop51,custom,pre,,Custom Insight 51,0,0,,,,,,,,,,,,,,
prop52,custom,pre,,Custom Insight 52,0,0,,,,,,,,,,,,,,
prop53,custom,pre,,Custom Insight 53,0,0,,,,,,,,,,,,,,
prop54,custom,pre,,Custom Insight 54,0,0,,,,,,,,,,,,,,
prop55,custom,pre,,Custom Insight 55,0,0,,,,,,,,,,,,,,
prop56,custom,pre,,Custom Insight 56,0,0,,,,,,,,,,,,,,
prop57,custom,pre,,Custom Insight 57,0,0,,,,,,,,,,,,,,
prop58,custom,pre,,Custom Insight 58,0,0,,,,,,,,,,,,,,
prop59,custom,pre,,Custom Insight 59,0,0,,,,,,,,,,,,,,
prop6,custom,pre,,Date/time converted to report suite time (c6),It contains the time (24hour format) and day of the timezone of a customer. It used to analyse what timezone a customer was on the moment they visited the website. It changes per page based on the time. ,23:30|Monday,,,,,,,,,,,,,,
prop60,custom,pre,,Custom Insight 60,0,0,,,,,,,,,,,,,,
prop61,custom,pre,,Custom Insight 61,0,0,,,,,,,,,,,,,,
prop62,custom,pre,,Custom Insight 62,0,0,,,,,,,,,,,,,,
prop63,custom,pre,,Custom Insight 63,0,0,,,,,,,,,,,,,,
